question1,question2,is_duplicate
янЁ  яжд —∆ « «б÷ЁѕЏњ,янЁ няжд  дЁ” «б÷ЁѕЏњ,0
гд √жб ‘ќ’ √бЁ б«∆Ќ… бб√г«яд «бќб«»…њ,гд еж «бгхбёш» »√»н «б «—нќњ,0
Ён √н Џ«г √хЎбё г‘—жЏ Џћ«∆» «бѕдн« «б”»Џњ,г м √Ўбё г‘—жЏ Џћ«∆» «бѕдн« «б”»Џ «бћѕнѕњ,1
г« еж г«Ѕ «б»Ќ—њ,»г«–« нг «“ г«Ѕ «б»Ќ—њ,1
г« ен «бЁж«∆ѕ «б’Ќн… бб«—“њ,≈бм √н ѕ—ћ… нЁнѕ «б√—“ «б’Ќ…њ,1
г« еж Ўё” ”«”я« ‘ж«д «б”«∆ѕњ,г« еж «бгд«ќ «б”«∆ѕ Ён г«дн ж»«њ,0
янЁ нќ бЁ ёб» «б÷ЁѕЏ Џд «б≈д”«дњ,",янЁ  ќ бЁ «бѕж—… «бѕгжн… бѕм «б÷ЁѕЏ Џд «б≈д”«дњ",0
янЁ «Ќ÷— бЁ«∆Ё «бб«“«дн«њ,гд Ў—ё  Ќ÷н—  «бб«“«дн«њ,0
г« Ў—нё…  Ќ÷н—  «бЌбёжг »г«Ѕ «бж—ѕњ,гд Ў—ё  Ќ÷н—  «бЌбёжг »г«Ѕ «бж—ѕњ,1
гг«   яжд «б б»нд…њ,г« еж Ќ”«Ѕ «б‘Џн— њ,0
г« ен Џ«’г… «б»— џ«бњ,г« Џ«’г… ћгеж—н… «б»— џ«бњ,1
яг  »бџ г”«Ќ… «бдг”«њ,г« г”«Ќ… «бдг”« «б≈ћг«бн…њ,1
янЁ «Ќ÷— «бё—д»нЎ »«ббшЌг… «бгЁ—жг… њ,гд Ў—ё  Ќ÷н— «бё—д»нЎњ,0
янЁ «Ќ÷— «бгг»«— «бгЌ‘нњ,гд Ў—ё  Ќ÷н— «бгг»«— «бгЌ‘нњ,1
г« «б Џѕ«ѕ «б”я«дн «б ёѕн—н б—ж”н« Ён Џ«г 2016њ,г« ен д”»… «бг”бгжд Ён —ж”н«њ,0
г« «бгё’жѕ »«бће«ѕњ,г« √дж«Џ «бће«ѕњ,0
яг н»бџ «— Ё«Џ е÷»… √ж «џжњ,г« еж гд«ќ днж“бдѕ« Џбм гѕ«— «б”д…њ,0
гд Ў—ё  Ќ÷н— яня «б‘жяжб« … ж«бёеж… њ,гд Ў—ё  Ќ÷н— яня «б‘жяжб« …  њ,0
г«–« дё’ѕ »«бгЁж÷ њ,г« еж «б Ёжн÷ њ,0
г« ен Ў—нё… ж’Ё… «б»н÷ бб ќб’ гд «б ћ«Џнѕњ,г« ен Ў—нё… «б ќЁнЁ гд «б ћ«Џнѕ »«б»н÷њ,1
г«–« нЁЏб Ён «гнд ѕ Ён «бћ”гњ,бг«–« Ён «гнд ѕ ÷—ж—н ббћ”гњ,1
г« Ў—нё… Ў»ќ «ббЌг »”—Џ… њ,гд Ў—ё  Ќ÷н— «ббЌг њ,0
г« еж Џ«бг ж«б  ѕн“днњ,г«–« дё’ѕ »Џ«бг ж«б  ѕн“днњ,1
г« Ў—нё…  Ќ÷н— гЌ‘н «бћ“— «б√Ќг— њ,гд Ў—ё  Ќ÷н— гЌ‘н «бћ“— «б√Ќг—њ,1
г« еж «бг ж”Ў «б”джн «бЏ«г бѕ—ћ«  «бЌ—«—… Ён «б√—ѕдњ,яг еж г ж”Ў ѕ—ћ«  «бЌ—«—… «бЏ«г «б”джн Ён «б√—ѕдњ,1
янЁ √” ќѕг «б»н÷ бб ќб’ гд «б ћ«Џнѕњ,еб нёжн «б»н÷ «б‘Џ—њ,0
г« ен «бд‘«Ў«  «б”н«”н… бгЌгжѕ ѕ—жн‘њ,г« д‘«Ў«  гЌгжѕ ѕ—жн‘ «б”н«”н…њ,1
г« Ў—нё…  Ќ÷н— ’ж’ б “ннд яня… «б‘жяжб« …  њ,гд Ў—ё  Ќ÷н—   яня… «б‘жяжб« … њ,0
янЁ «ён дЁ”н гд «б«’«»… »Ён—ж” ”нњ,янЁ  яжд «бжё«н… гд Ён—ж” ”нњ,1
г« «”г Џ«’г… —ж”н« «б»н÷«Ѕњ,г« ен Џ«’г… «бдг”«њ,0
гд еж гѕн—  «бг»нЏ«  њ,г«–« дё’ѕ »«ѕ«—… «бг»нЏ«  њ,0
янЁ «» ѕ√ дћн» гЌЁжў г”н— е «б√ѕ»н…њ,г м жбѕ дћн» гЌЁжўњ,0
г« ен √ег  Ў»нё«   яджбжћн« «б Џбнгњ,г« √ег «б Ў»нё«  «б яджбжћн… Ён Ќн« д«њ,0
г« янЁн… Џгб «б«—“ »«бб»д њ,г« Ў—нё… Џгб «б«—“ »«бб»д њ,1
еб бб»Ў«б… «дж«Џ њ,г« ен «б»Ў«б… њ,0
г« Ў—нё…  Ќ÷н—  ж—ё «бЏд» њ,гд Ў—ё  Ќ÷н—  ж—ё «бЏд»њ,1
г« Ў—нё…  Ќ÷н— яня… «бд”я«Ёне њ,гд Ў—ё  Ќ÷н— яня…  њ,0
гд ен «б«’жб њ,г« ен «”«”н«  «б«’жб њ,0
г«  Џ—нЁ б”«д «бЏ’Ёж—њ,гд Ў—ё  Ќ÷н—   б”«д «бЏ’Ёж—њ,0
яг  »бџ г”«Ќ… гжбѕ«Ён«њ,яг  ’б «бг”«Ќ… «бћџ—«Ён… бг«бЎ«њ,0
г«–« н‘яб «бё”г «б‘—ён б—ж”н«њ,яг  »бџ г”«Ќ… —ж”н«њ,0
янЁ «Ќ÷— гж«бЌ »«б“Џ — ж«бћ»д…њ,гд Ў—ё  Ќ÷н— гж«бЌ »«б“Џ — ж«бћ»д…њ,1
г« гжёЏ «б»Ќ—ндњ,яг Џѕѕ «бћ“— «б н  ЌнЎ «б»Ќ—ндњ,0
гд Ў—ё  Ќ÷н— я—«  «б‘жяжб« … »Ќ‘ж… «бг«—‘гнбжњ,гд Ў—ё  Ќ÷н— «б‘жяжб« …њ,0
г« ‘Џ«— «б»— џ«б «бжЎднњ,г« еж «бдў«г «бЌ«яг бб»— џ«бњ,0
»г«–« н’Ў«ѕ «б÷ЁѕЏ Ё—н” ењ,янЁ н√яб «б÷ЁѕЏњ,0
г« Ў—нё…  Ќ÷н— «бгг»«— «бгЌ‘нњ,гд Ў—ё  Ќ÷н— «бѕћ«ћ «бгЌ‘нњ,0
г« янЁн… ќбЎ «бЎнд б’д«Џ… «бЁќ«— њ,г« янЁн…  ћен“ Ўнд «бЁќ«— њ,1
»г«–«  г «“ я«гн—«  «б ’жн— Ён «б «»б њ,г« «б–н нгн“ я«гн—«  «б ’жн— Ён «б «»б њ,1
г« ен «бг‘«яб «б н ёѕ н Џ—÷ бе« «бяг»нж —њ,г« «бг‘«яб «б н ёѕ н Џ—÷ бе« «бяг»нж —њ,1
г« ен «б«Џ‘«» «бЎ»н… бЏб«ћ «б—жг« н“гњ,янЁ нЏ«бћ «б—жг« н“г »«б«Џ‘«»њ,1
Ён √н Џ«г »хдн »—ћ ќбнЁ…њ,√нд нжћѕ »—ћ ќбнЁ…њ,0
г« ќЎж«  «д‘«Ѕ «бж«Ќ ‘г”н… Ён «бгд“б њ,г« «дж«Џ «б«бж«Ќ «б‘г”н… њ,0
г м  √””  ‘—я… ж«б  ѕн“днњ,гд еж гƒ”” ‘—я… ж«б  ѕн“днњ,0
г м √ нЌ  «б‘»я… «бЏдя»ж н… гћ«д«хњ,г« «бгё’жѕ »«б‘»я… «бЏдя»жн н…њ,0
янЁ «я ‘Ё Ён «гнд »12њ,янЁ «я ‘Ё Ён «гнд »2њ,0
г« еж «б”»» ж—«Ѕ  ”гн… ћ“н—… √дћж«д »«бћ“н—… «бгЏЎ—…њ,гд ен «бћ“н—… «бгЏЎ—… Ён ћ“— «бёг—њ,0
г« ен √ќЁ÷ дёЎ… Ён «бЏ«бгњ,»г«–«  ‘ е— «б√—ѕд Ён «б“—«Џ…њ,0
г м √’»Ќ  гѕџ‘ё—   »Џ «бЌяг «бЏ”я—нњ,Ён √н Џ«г « »Џ  гѕџ‘ё— «бЌяг «бЏ”я—нњ,1
г« ен Џ«’г… «бггбя… «б√—ѕдн… «бе«‘гн…њ,г« «”г «б√—ѕд «б—”гнњ,0
г« Џѕѕ ё«—«  «бЏ«бгњ,г« еж Џѕѕ «бё«—«  «бгжћжѕ… Ён «бЏ«бгњ,1
г«–« дё’ѕ »«бёнг «б”н«”н…њ,г« ен «бёнг «б”н«”н…њ,1
янЁ «Ќ÷— яня… «б√д«д«” гЏ ћж“ «бедѕ жЏ’н— «б»— ё«б  њ,гд Ў—ё  Ќ÷н— яня… «б√д«д«” њ,0
г« √егн… «б»— ё«б б Ё нЌ «б»‘—…њ,г« Ёж«∆ѕ Џ’н— «б»— ё«бњ,0
г« Џ«’г… «бя«гн—ждњ,г« ен Џ«’г… √дџжб«њ,0
г« «бЏб«ё… »нд «бёеж… же‘«‘… «бЏў«гњ,г« ен е‘«‘… «бЏў«гњ,0
г« дў«г «бЌяг Ён «бггбя… «б«—ѕдн… «бе«‘гн…њ,г« ен √я»— гЌ«Ёў«  «б√—ѕд гд ЌнЋ «бг”«Ќ…њ,0
г«–« Џбм «бг ЎжЏнд Џгб… Ён «б«Џг«б «б ЎжЏн… њ,г«–« дё’ѕ »«бЏгб «б ЎжЏн њ,0
г« Џѕѕ ”я«д ћн»ж нњ,√нд  ёЏ ћн»ж нњ,0
г« гЎбЏ ё’нѕ… √ёжб џѕ«… √” ёб «бћгнЏњ,гд гƒбЁ ё’нѕ… √ёжб џѕ«… √” ёб «бћгнЏњ,0
г« «”г Џ«’г… ≈”»«дн«њ,г« «”г Џ«’г… ”бжЁндн«њ,0
гд Ў—ё  Ќ÷н— »”яжн  »«бг«—‘гнбжњ,гд Ў—ё  Ќ÷н—  «бг«—‘гнбж њ,0
г м »ѕ√  √Џг«б »д«Ѕ «бяжбж”нжгњ,гд г«–«  г »д«Ѕ «бяжбж”нжгњ,0
г м ўе—  «б‘нжЏн… њ,г« еж  «—нќ «б‘нжЏн… њ,1
г« Џ«’г… џндн«њ,г« «”г Џ«’г… џ«д«њ,0
бг«–« ўе— «б‘Џ—њ,г« √егн… «б‘Џ— њ,1
янЁ нхЁ шЌ «б”ѕ— «б»‘—…њ,г« Ў—нё…  Ё нЌ «б»‘—… »«” Џг«б «б”ѕ—њ,1
г« Ў—нё…  Ќ÷н—  ж— … «б‘жяжб« … «б≈”Ёдћн…  њ,гд Ў—ё  Ќ÷н—  «б‘жяжб« …  њ,0
гд ег √џб» ”я«д ћ“н—… е«н нњ,г« Џѕѕ ”ябд ћ“н—… е«н нњ,0
г м ’ѕ—  Џгб… «бнгдњ,г« ен «бЏгб… њ,0
г« Џѕѕ ”я«д жб«н… ”«”я« ‘ж«дњ,яг Џѕѕ ”я«д днжЁдбдѕ жб«»—«ѕж—њ,0
г« еж «бг»н÷њ,г« ен «бг»«н÷њ,1
√нд  ёЏ ћ“н—… Ёнћнњ,г« г”«Ќ… ћ“н—… Ёнћнњ,0
г«–« дё’ѕ »«б«б “«г« њ,гд «дж«Џ «б«б “«г« њ,0
янЁ «Ќ÷— «бџ—н»…  њ,гд Ў—ё  Ќ÷н—  «бџ—н»…  њ,1
г« Ў—нё…  Ќ÷н—  г— »‘жяжб« … њ,гд Ў—ё  Ќ÷н—  г— »‘жяжб« … «бћ«б«я”нњ,0
яг  ’б «бяЋ«Ё… «б”я«н… Ён √бг«дн«њ,г« ен яЋ«Ё… Ёдбдѕ« «б”я«дн…њ,0
гд еж √»ж дж«”њ,»гу «‘ е— «б‘«Џ— √»ж дж«”њ,0
гд Ў—ё  Ќ÷н— «бяня «б≈”Ёдћн «б’н«гнњ,гд Ў—ё  Ќ÷н— «бяня «б≈”Ёдћн  њ,0
г«–« дё’ѕ »«б—”«∆б «б«ѕ«—н… њ,г« ен Ёж«∆ѕ «б—”«∆б «б«ѕ«—н… њ,0
г« Ў—нё…  Ќ÷н— «бн«бдћн «б‘«гнњ,гд Ў—ё  Ќ÷н— «бн«бдћн «б‘«гнњ,1
гд Ў—ё  Ќ÷н— «бя”я”н »«бё‘Ў… ж«бЏ”бњ,гд Ў—ё  Ќ÷н— «бя”я”н њ,0
гд Ў—ё  Ќ÷н—  «бЌбн» «бгяЋушЁњ,гд Ў—ё  Ќ÷н—  «бЌбн» «бгяЋушЁ »«б‘жяжб« …њ,0
янЁ «Ќ÷— џ—« «д «бќ÷—«ж« њ,гд Ў—ё  Ќ÷н—  џ—« «д «бќ÷—«ж« њ,1
янЁ «Ќ÷— «бяня «бгЌ‘н »«бя—нг…њ,гд Ў—ё  Ќ÷н— «бяня «бгЌ‘н »«бя—нг…њ,1
г« ггн“«  «б яджбжћн« њ,г«  Џ—нЁ «б яджбжћн« њ,0
г« ен «”»«» «б«’«»… »«бёжбжд «бЏ’»нњ,бг«–« д’«» »«бёжбжд «бЏ’»нњ,1
"янЁ «Ќ÷— «б√—“ш «бгЁбЁб гЏ «б‘шЏн—нш… њ""",гд Ў—ё  Ќ÷н— «б«—“њ,0
янЁ «Ќ÷— «б»ж—я »Ќ‘ж… «бѕћ«ћњ,гд Ў—ё  Ќ÷н—  «б»ж—я »Ќ‘ж… «бѕћ«ћњ,1
г« еж  Џ—нЁ «б»Ў«ё… г”»ё… «бѕЁЏњ,г« гяжд«  »Ў«ё… г”»ё… «бѕЁЏњ,0
г« Ў—нё…  Ќ÷н— «бе—н” њ,гд Ў—ё  Ќ÷н— «бе—н”њ,1
"√—нѕ √д √Џгб Ќ”«» бн Џбм Ён”»жя° янЁ –бяњ",г« ен Ў—ё Џгб Ќ”«» Џбм Ён” »жяњ,1
г« Ў—нё…  Ќ÷н— ’«»бн Ќб“ждн ян‘енњ,гд Ў—ё  Ќ÷н— ’«»бн  њ,0
г« ен «‘я«б «б√бгднжгњ,гд √‘я«б «б√бгднжг «бянгн«∆н…њ,0
г« Ў—нё…  Ќ÷н—  гЌ‘н «бЁбЁб «б—жгнњ,гд Ў—ё  Ќ÷н—  гЌ‘н «бЁбЁб «б—жгнњ,1
яг  ’б «бг”«Ќ… «бћџ—«Ён… ббн»н«њ,Ён √н ё«—…  жћѕ бн»н«њ,0
г м ‘нѕ  ёбЏ… я—гбндњ,г м  √””  ёбЏ… «бя—гбндњ,1
г« Ў—нё…  Ќ÷н— √’«»Џ «бћ»д њ,гд Ў—ё  Ќ÷н— √’«»Џ «бг«“ж—нб«њ,0
г« ен ггн“«  «бћнб «бЋ«бЋ ббЌ«”ж»њ,»г  гн“ «бћнб «бЋ«бЋ ббЌ«”ж»њ,1
г« Ў—нё…  Ќ÷н— ”бЎ… «бгЏя—жд… »«бг«нждн“ њ,гд Ў—ё  Ќ÷н— ”бЎ… «бгЏя—жд… »«бг«нждн“њ,1
г« Ў—нё…  Ќ÷н— ж—ё б”«д њ,янЁ «Ќ÷— ж—ё б”«дњ,1
г« ен «б»бѕ «бЋ«дн √я»— ѕжб… Ён «бгдЎё… «бЏ—»н…њ,г« ен Џгб… ”бЎд… Џг«дњ,0
Ён √н Џ«г  г ≈’ѕ«— «бѕ” ж— «бќ«’ бднж“бдѕ«њ,г м  г ≈’ѕ«— «бѕ” ж— «бќ«’ бднж“бдѕ«њ,1
г« ен Џ«’г… «бнжд«дњ,г« «”г Џ«’г… «бнжд«дњ,1
г« ен д”»… «б√нЎ«бннжд Ён √” —«бн«њ,√нд  ёЏ √” —«бн«њ,0
бг«–« н”Џб «б√ЎЁ«бњ,г« ен √”»«» «б”Џ«б Џдѕ «б√ЎЁ«бњ,1
г« «бгё’жѕ »«б —ян»«  «бЏб«∆ён… Ён ёж«Џѕ «б»н«д« њ,г« ен «б —ян»«  «бЏб«∆ён…њ,1
г« ен г»нЌ«  «б≈ЁЎ«— Ён —г÷«дњ,г« ен √‘я«б ≈ЁЎ«— «б’«∆гњ,0
яг Џѕѕ «б”я«д «б ёѕн—н б—ж”н« Џ«г 2016њ,г« ен д”»… «бг”бгжд Ён —ж”н«њ,0
г« ен Ў—нё…  Ќ÷н— «бя—”»н «бгё—г‘њ,гд Ў—ё  Ќ÷н— «б»”яжн  «бгё—г‘њ,0
г« еж «б‘Џ«— «бжЎдн бб»— џ«бњ,г« еж «бдў«г «бЌ«яг бб»— џ«бњ,0
г«–« дё’ѕ »«б ”жё Џ»— «б≈д —д њ,г«  Џ—нЁ «б ”жё Џ»— «б≈д —д њ,1
яг н»бџ Џѕѕ ”я«д —жг«дн«њ,яг н»бџ Џѕѕ ”я«д «б»— џ«бњ,0
г« Ў—нё…  Ќ÷н— я» яня «бћ“— ж«бё—Ё… ѕ«н  њ,янЁ «Ќ÷— я» яня «бћ“— ж«бё—Ё… ѕ«н њ,1
г« Ў—нё…  Ќ÷н— Ќбм гж” «б‘«гж«е »«бЁ«днб« њ,янЁ «Ќ÷— Ќбм гж” «б‘«гж«е »«бЁ«днб«њ,1
√нд  ёЏ г« ‘ж »н ‘жњ,г« еж ж“д  гЋ«б «бг”нЌ «бЁ«ѕнњ,0
г« еж бё» гѕнд… «б» —«Ѕ «б√Ћ—н…њ,г« «ббё» «б–н  бё» »е «б» —«Ѕњ,1
г« Ў—нё… ж’Ё… “»ѕ… «б‘н« бб ќб’ гд ¬Ћ«— «бЌ»ж»њ,янЁ  ” Џгб “»ѕ… «б‘н« бб ќб’ гд ¬Ћ«— «бЌ»ж»њ,1
яг  »бџ г”«Ќ… «бћ“«∆— «бћџ—«Ён…њ,√нд  ёЏ «бћ“«∆—њ,0
г«  Џ—нЁ «б«‘ —«ян… њ,г« ен ќ’«∆’ «б«‘ —«ян… њ,0
г« ен «бд’«∆Ќ б Ќ÷н— бн«бн б»д«д њ,г« Ў—нё…  Ќ÷н— бн«бн б»д«д њ,0
г« Ў—нё…  Ќ÷н— я—«  «б‘жяжб« … »Ќ‘ж… «бг«—‘гнбжњ,янЁ «Ќ÷— я—«  «б‘жяжб« … »Ќ‘ж… «бг«—‘гнбжњ,1
г« ен Џ«’г… ”бЎд… Џг«дњ,г« ен «бЏ«’г… «б—”гн… б”бЎд… Џг«дњ,1
г« џ–«Ѕ √»ж –дн»…њ,г« √егн… џ–«Ѕ «б÷Ё«ѕЏњ,0
гд «‘я«б «б«Џг«б «б ЎжЏн… њ,√дж«Џ «бЏгб «б ЎжЏн њ,1
г« ен «б«”г«Ѕ «б ћ«—н…њ,г« ен гж«’Ё«  «б√”г«Ѕ «б ћ«—нш…њ,0
г« «бгд«ќ «б”«∆ѕ Ён жб«н… √б»— «њ,г« «бгд«ќ «б”«∆ѕ Ён жб«н… днж »—жд“жняњ,0
янЁ «Ќ÷— «б г— »«бЎЌндн…њ,гд Ў—ё  Ќ÷н— яня… «б г—њ,0
г« Ў—нё…  Ќ÷н— ЁЎ— »«б√Џ‘«»њ,янЁ «Ќ÷— ЁЎ— »«б√Џ‘«»њ,1
г« ен ё’нѕ… √ёжб џѕ«… √” ёб «бћгнЏњ,г« гЎбЏ ё’нѕ… √ёжб џѕ«… √” ёб «бћгнЏњ,1
яг  »бџ г”«Ќ… «Ё« ня«дњ,яг  ’б «бг”«Ќ… «Ёћг«бн… ббггбя… «бг Ќѕ…њ,0
г« Ў—нё…  Ќ÷н— гЏя—жд… б”«д «бЏ’Ёж—њ,гд Ў—ё  Ќ÷н— б”«д «бЏ’Ёж—њ,0
г« янЁн… «ќ н«— «б«”г«Ѕ «б ћ«—н… њ,г« ен «б«”г«Ѕ «б ћ«—н…њ,0
гд ен «бѕжб… «б√’џ— Ён ё«—… √ж—ж»«њ,яг Џѕѕ ”я«д ё«—… √Ё—нён«њ,0
г« ен г÷«ЏЁ«  «б»ёЏ «бЌг—«Ѕ Џбм «бћ”гњ,г« ен г÷«ЏЁ«  «б»ёЏ «бћбѕн…њ,0
г« еж Џб«ћ «бЎ» «б»ѕнб ббЋ«бжбњ,г« еж «бЏб«ћ «б‘Џ»н ббЋ¬бнбњ,1
г« ен гћ«б«  «ѕ«—… «б«Џг«б њ,г« ен « ћ«е«  «ѕ«—… «б«Џг«б њ,1
гд Ў—ё  Ќ÷н—  «б»Ё ня Џбм «бЎ—нё… «бЁ—д”нш…њ,гд Ў—ё  Ќ÷н— «б»Ё няњ,0
г« «дж«Џ –жн «б«Ќ н«ћ«  «бќ«’… њ,г« ен √дж«Џ «б«Ќ н«ћ«  «бќ«’…њ,1
г« «”г Џ«’г… »бџ«—н«њ,г« «”г Џ«’г… «б»ж”д… ж«бе—”яњ,0
янЁ  ’дЏ «бЎ«∆—… «бг—жЌн… њ,янЁ  ’дЏ «бЎ«∆—… «бг—жЌн… њ,0
яг  »бџ г”«Ќ… Ёдбдѕ«њ,яг  »бџ г”«Ќ… ≈” ждн«њ,0
г« «бгё’жѕ » Ќжнг «бЎ«∆—… «бг—жЌн…њ,г«–« дЏдн » Ќжнг «бЎ«∆—… «бг—жЌн…њ,1
г« ен √”»«» жћЏ «бўе—њ,г« ен √”»«» √бг «бўе—њ,1
янЁ «Ќ÷— «б“е—… «бгуёбнуш… Џбм «бЎ—нё… «бг’—нш…њ,гд Ў—ё  Ќ÷н— «б“е—… «бгуёбнуш…  њ,0
г м «Ўбё ћжћб »б”њ,г« еж ћжћб »б”њ,0
г« Џ«’г… ё«—… √” —«бн«њ,√нд  ёЏ √” —«бн«њ,0
гд Ў—ё  Ќ÷н— «б”»«дќ »«ббЌг… Џбм «бЎ—нё… «бг’—н…њ,гд Ў—ё  Ќ÷н— «б”»«дќ њ,0
г« Ў—нё…  Ќ÷н— я—«  Ќбж… «б —яњ,янЁ «Ќ÷— я—«  Ќбж… «б —яњ,1
гд г”ƒжбн«  «бг—√… б»н е«њ,г« «бгё’жѕ »«бг—«…њ,0
г« еж «”г «б√—ѕд «б—”гнњ,г« Џ«’г… «б√—ѕд «б—”гн…њ,0
г« ен «ббџ… «б—”гн… Ён гѕџ‘ё—њ,г« д”»… «бг Џбгнд Ён гѕџ‘ё—њ,0
гд Ў—ё  Ќ÷н— Ќ‘ж… »н«÷ «б»н÷њ,гд Ў—ё  Ќ÷н— яня… »н«÷ «б»н÷њ,0
г« Ў—нё…  Ќ÷н— ян‘ «бќх÷«—њ,гд Ў—ё  Ќ÷н—  ян‘ «бќх÷«—њ,1
яг д”»… «б”я«д «бг”бгнд «бгжћжѕнд Ён «б√—ѕдњ,г« н «ббџ… «б—”гн… бб√—ѕдњ,0
г« Ў—нё…  Ќ÷н—  бёг… «б”яш— «бгёбн…њ,янЁ «Ќ÷— бёг… «б”яш— «бгёбн…њ,1
г« д”»… «д ‘«— «б≈”б«г Ён ћ“н—… Ёнћнњ,г« «ббџ… «бг” ќѕг… Ён ћ“н—… Ёнћнњ,0
г«  Џ—нЁ «бёнг «б«ћ г«Џн… њ,гд ќ’«∆’ «бёнг њ,0
г«–« дё’ѕ »‘»я… «бЌ«”ж»њ,г м «ќ —Џ √жб Ќ«”ж» Ён «бЏ«бгњ,0
г« Ў—нё…  Ќ÷н—  Ќб«ж… «б”шгнѕњ,гд Ў—ё  Ќ÷н—  Ќб«ж… «б”шгнѕ њ,1
